time, temperature, humidity, pressure
2018/09/28 19:30:01,23.9667805576,75.4327802148,1009.02091467
2018/09/28 20:05:03,23.8619331256,76.3296743862,1009.40993484
2018/09/28 21:42:14,24.4610630372,74.2128446649,1009.76932509
2018/09/29 03:39:08,23.3077416888,76.6636150408,1009.4694756
2018/09/29 03:48:11,23.802020365,74.0334473677,1009.40795521
2018/09/29 03:48:54,23.4625155129,74.8898120994,1009.35289201
2018/09/29 03:50:49,23.3776395102,75.2404416282,1009.25411008
2018/09/29 03:51:13,23.3676541037,75.3010566677,1009.21020014
2018/09/29 03:52:49,23.347683294,75.4948463244,1009.20079531
2018/09/29 05:05:02,23.0930558795,75.5747704404,1009.55760426
2018/09/29 05:49:06,22.9832168364,75.6049384043,1009.77998498
2018/09/29 06:00:01,22.978224156,75.470671068,1010.00619279
